crn,dept,course_id,instructor,title,modality,credits,capacity,days,start_time,end_time,location
85106,ENGL,ENGL 3764,Staff,Technical Writing,OnlineAsync,3,0,(ARR),(ARR),(ARR),00X
85108,ENGL,ENGL 3764,VL Ruccolo,Technical Writing,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85109,ENGL,ENGL 3764,S Oakey,Technical Writing,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85110,ENGL,ENGL 3764,SD Mooney,Technical Writing,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85111,ENGL,ENGL 3764,SD Mooney,Technical Writing,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85112,ENGL,ENGL 3764,SD Mooney,Technical Writing,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85113,ENGL,ENGL 3764,Staff,Technical Writing,OnlineAsync,3,0,(ARR),(ARR),(ARR),00X
85114,ENGL,ENGL 3764,Staff,Technical Writing,OnlineAsync,3,0,(ARR),(ARR),(ARR),00X
85115,ENGL,ENGL 3764,AF Kinder,Technical Writing,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85116,ENGL,ENGL 3774,SD Gilbert,Business Writing,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85117,ENGL,ENGL 3774,SD Gilbert,Business Writing,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85118,ENGL,ENGL 3804,VL Ruccolo,Technical Editing and Style,F2F,3,22,T R,3:30PM,4:45PM,SHANK 360
85119,ENGL,ENGL 3814,S Patcha-Lum,Creating User Documentation,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85120,ENGL,ENGL 3814,S Patcha-Lum,Creating User Documentation,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85121,ENGL,ENGL 3824,LS King,Visual Rhetoric and Doc Design,F2F,3,22,M W,2:30PM,3:45PM,SHANK 360
85122,ENGL,ENGL 3834,S Baniya,Intercultural Issues in PW,F2F,3,22,T R,8:00AM,9:15AM,SHANK 360
85123,ENGL,ENGL 3844,S Patcha-Lum,Writing and Digital Media,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85124,ENGL,ENGL 3844,EA Lautenschlager,Writing and Digital Media,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85125,ENGL,ENGL 3844,EA Lautenschlager,Writing and Digital Media,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85126,ENGL,ENGL 3844,EA Lautenschlager,Writing and Digital Media,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85128,ENGL,ENGL 3844,S Patcha-Lum,Writing and Digital Media,OnlineAsync,3,21,(ARR),(ARR),(ARR),00X
85129,ENGL,ENGL 3844,JD Ivory,Writing and Digital Media,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85130,ENGL,ENGL 3844,LS King,Writing and Digital Media,OnlineAsync,3,22,(ARR),(ARR),(ARR),00X
85131,ENGL,ENGL 3844,Staff,Writing and Digital Media,OnlineAsync,3,0,(ARR),(ARR),(ARR),00X
85133,ENGL,ENGL 4134,RK Panneton,Language Development,F2F,3,64,T R,8:00AM,9:15AM,PAM 31
90843,ENGL,ENGL 4144,SM Flego,Phonology,F2F,3,25,M W F,10:10AM,11:00AM,WHIT 277
85134,ENGL,ENGL 4164,K Cleland,Studies in Shakespeare,F2F,3,25,T R,3:30PM,4:45PM,WHIT 277
85136,ENGL,ENGL 4664,E Waldman,Contemporary Fiction,F2F,3,25,M W,2:30PM,3:45PM,MCB 302
85137,ENGL,ENGL 4704,E Lavender-Smith,Advanced Fiction,F2F,3,16,M W F,11:15AM,12:05PM,SHANK 352
85138,ENGL,ENGL 4714,JA Joseph,Advanced Poetry,F2F,3,16,T R,2:00PM,3:15PM,SHANK 352
85139,ENGL,ENGL 4724,K Queen,Fiction for Young People,F2F,3,22,M W,4:00PM,5:15PM,SHANK 370
85140,ENGL,ENGL 4784,T Thompson,Senior Seminar,Hybrid,3,16,M W,4:00PM,5:15PM,SHANK 352
85141,ENGL,ENGL 4804,JM Dubinsky,Grant Proposals and Reports,F2F,3,22,T R,2:00PM,3:15PM,MCB 328
85142,ENGL,ENGL 4814,C Evia Puerto,Developing Online Content,F2F,3,22,T R,11:00AM,12:15PM,SHANK 360
85143,ENGL,ENGL 4824,B McComiskey,Science Writing,F2F,3,22,T R,3:30PM,4:45PM,MCB 210
85144,ENGL,ENGL 4874,S Baniya,Issues Prof & Public Discourse,F2F,3,16,T R,9:30AM,10:45AM,SHANK 352
85145,ENGL,ENGL 4964,SS Patel,FW: Editing a Literary Journal,F2F,3,15,T R,3:30PM,4:45PM,SHANK 340
85147,ENGL,ENGL 4964,SS Patel,FW: Small Press Publishing,F2F,3,15,T R,12:30PM,1:45PM,SHANK 340
91570,ENGL,ENGL 4964,LS King,FW: Words & Pictures F24,F2F,3,9,M W F,11:15AM,12:05PM,SHANK 316
