crn,course,title,schedule_type,modality,cr_hrs,capacity,instructor,days,start_time,end_time,location,exam
90685,EDCI-5324,Literacy Diverse Students,ONLINE COURSE - VL,Online: Asynchronous,3,20,DJ Fortune,(ARR),----- (ARR) -----,ONLINE,00X,
84556,EDCI-5364,Technology in Science Clsrm,L,Hybrid (F2F & Online Instruc.),3,20,Staff,T,4:00PM,6:50PM,DER 1096,16T
84557,EDCI-5374,Assess K-12 Science Education,L,Hybrid (F2F & Online Instruc.),3,16,BR Brand,W,9:30AM,12:15PM,DER 1096,09W
84558,EDCI-5424,Content Literacy Inst (GR 3-6),L,Face-to-Face Instruction,3,16,DA Robertson,W,9:00AM,11:50AM,CRC10 2081,09W
84559,EDCI-5424,Content Literacy Inst (GR 3-6),L,Face-to-Face Instruction,3,16,NA Bradley,R,9:00AM,11:50AM,CRC10 2081,09R
90719,EDCI-5524,Behavior Mgt K-12 Classrooms,ONLINE COURSE - VL,Online: Asynchronous,3,20,JS Mukuni,(ARR),----- (ARR) -----,ONLINE,00X,
90684,EDCI-5544,Foundations Literacy Elem.,ONLINE COURSE - VL,Online: Asynchronous,3,20,DA Robertson,(ARR),----- (ARR) -----,ONLINE,00X,
84563,EDCI-5554,Educ Except Learners,ONLINE COURSE - VL,Online: Asynchronous,3,20,BS Billingsley,(ARR),----- (ARR) -----,ONLINE,00X,
84565,EDCI-5724,Tchg in Mid & Sec Schls I,L03,Face-to-Face Instruction,3,9,Staff,M,4:00PM,6:50PM,MCB 223,16M
84566,EDCI-5724,Tchg in Mid & Sec Schls I,L01,Hybrid (F2F & Online Instruc.),3,15,BR Brand,T R,9:30AM,12:15PM,DER 1096,09T
84567,EDCI-5724,Tchg in Mid & Sec Schls I,L,Face-to-Face Instruction,3,12,CS Foster,M,5:00PM,7:50PM,GYM 345,17M
84568,EDCI-5724,Tchg in Mid & Sec Schls I,L02,Face-to-Face Instruction,3,15,Staff,T,1:00PM,3:50PM,LIBR 124,13T
90692,EDCI-5734,Critical Anlys Math Ed Resrch,L,Face-to-Face Instruction,3,15,JL Wilkins,M,1:00PM,3:50PM,SEITZ 112,13M
84572,EDCI-5764,Externship in Education,L,,1 TO 12,25,NA Bradley,(ARR),----- (ARR) -----,TBA,00X,
90712,EDCI-5784,GS: Foundations of Rural Ed,L,Face-to-Face Instruction,3,20,AP Azano,W,4:00PM,6:50PM,CRC10 2081,16W
90714,EDCI-5784,GS: Creative Acad Explorations,L,Face-to-Face Instruction,3,20,BD Hunt,R,4:00PM,6:50PM,CRC10 2081,16R
84574,EDCI-5804,STEM Education Foundations,L,Face-to-Face Instruction,3,15,Staff,R,4:00PM,6:50PM,SEITZ 112,16R
84575,EDCI-5804,STEM Education Foundations,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,15,Staff,R,4:00PM,6:50PM,ONLINE,16R
84576,EDCI-5814,STEM Education Pedagogy,L,Face-to-Face Instruction,3,20,JG Wells,W,4:00PM,6:50PM,SEITZ 112,16W
84577,EDCI-5814,STEM Education Pedagogy,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,15,JG Wells,W,4:00PM,6:50PM,ONLINE,16W
84578,EDCI-5844,STEM Education Seminar,L,Face-to-Face Instruction,1,15,JG Wells,T,5:30PM,7:30PM,SEITZ 112,00X
84579,EDCI-5844,STEM Education Seminar,ONLINE COURSE - VL,Online with Synchronous Mtgs.,1,10,JG Wells,T,5:30PM,7:00PM,ONLINE,00X
84580,EDCI-5894,Final Examination,L,,3,25,NA Bradley,(ARR),----- (ARR) -----,TBA,00X,
84581,EDCI-5904,Project and Report,R,,1 TO 19,15,NA Bradley,(ARR),----- (ARR) -----,TBA,00X,
84582,EDCI-5914,Multicultural Teaching ESL,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,20,BC Kreye,T,4:00PM,6:50PM,ONLINE,16T
84583,EDCI-5964,FW: Science Education,L,Hybrid (F2F & Online Instruc.),1 TO 19,9,L Taylor,M,4:00PM,6:50PM,SEITZ 112,00X
84584,EDCI-5964,FW: Math Education,L05,Face-to-Face Instruction,3,10,BC Kreye,W,4:00PM,6:50PM,MCB 223,16W
84585,EDCI-5964,FW: Music Education,L07,,1 TO 19,12,CS Foster,(ARR),----- (ARR) -----,TBA,00X,
84586,EDCI-5964,FW: Hist/Social Sci Education,L06,,1 TO 19,15,Staff,(ARR),----- (ARR) -----,TBA,00X,
84587,EDCI-5964,FW: STEM Education,L04,,1 TO 19,10,JG Wells,(ARR),----- (ARR) -----,TBA,00X,
84588,EDCI-5964,FW: Elementary Education,L02,Face-to-Face Instruction,6,16,DJ Fortune,F,9:00AM,11:50AM,CRC10 2081,09F
84590,EDCI-5964,FW: Elementary Education,L,Face-to-Face Instruction,6,16,DJ Fortune,F,9:00AM,11:50AM,CRC10 2080,09F
84591,EDCI-5964,Field Studies in Education,ONLINE COURSE - VL1,,1 TO 19,10,NA Bradley,(ARR),----- (ARR) -----,ONLINE,00X,
84592,EDCI-5964,Field Studies in Education,ONLINE COURSE - VL,,1 TO 19,10,JG Wells,(ARR),----- (ARR) -----,ONLINE,00X,
84593,EDCI-5974,Independent Study,I,,1 TO 19,0,NL Ferand,(ARR),----- (ARR) -----,TBA,00X,
84594,EDCI-5974,Independent Study,I,,1 TO 19,0,NA Bradley,(ARR),----- (ARR) -----,TBA,00X,
84595,EDCI-5974,Independent Study,ONLINE COURSE - VI,,1 TO 19,0,JG Wells,(ARR),----- (ARR) -----,ONLINE,00X,
84596,EDCI-5974,Independent Study,ONLINE COURSE - VI,,1 TO 19,0,NA Bradley,(ARR),----- (ARR) -----,ONLINE,00X,
84597,EDCI-5994,Research and Thesis,R,,1 TO 19,25,NA Bradley,(ARR),----- (ARR) -----,TBA,00X,
91804,EDCI-6014,TS: Adv Topics in Teacher Ed.,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,18,DJ Fortune,T,4:00PM,7:00PM,ONLINE,16T
84599,EDCI-6944,Professional Seminar,L,Face-to-Face Instruction,3,12,BS Billingsley,W,7:00PM,9:50PM,CRC10 2080,19W
84600,EDCI-6944,Professional Seminar,L01,Face-to-Face Instruction,1,15,JL Wilkins,R,12:00PM,1:00PM,MCB 455,00X
84601,EDCI-7754,Internship in Education,L,,1 TO 24,25,NA Bradley,(ARR),----- (ARR) -----,TBA,00X,
84602,EDCI-7964,Field Studies in Education,L,,1 TO 12,25,NA Bradley,(ARR),----- (ARR) -----,TBA,00X,
84603,EDCI-7994,Research and Dissertation,R,,1 TO 19,100,NA Bradley,(ARR),----- (ARR) -----,TBA,00X,
84604,EDCI-7994,Research and Dissertation,ONLINE COURSE - VR,,1 TO 19,50,NA Bradley,(ARR),----- (ARR) -----,ONLINE,00X,
84605,EDCO-2004,Healthy Relationships,L,Hybrid (F2F & Online Instruc.),3,17,Staff,T,12:30PM,1:45PM,DER 1096,12T
,,,,* Additional Times *,R,12:30PM,1:45PM,ONLINE,,,,
91715,EDCO-2004,Healthy Relationships,L,Hybrid (F2F & Online Instruc.),3,17,Staff,T,2:00PM,3:15PM,DER 1096,14T
,,,,* Additional Times *,R,2:00PM,3:15PM,ONLINE,,,,
90718,EDCO-6304,Clinical Supervision,L,Face-to-Face Instruction,3,12,Staff,W,9:00AM,11:50AM,CRC10 2013,09W
90717,EDCO-6484,Lead & Advocate in Counsel Ed,L,Face-to-Face Instruction,3,12,Staff,M,1:00PM,3:50PM,CRC10 2013,13M
84616,EDCO-6524,Doctoral Internship,L,Face-to-Face Instruction,1 TO 19,12,LE Welfare,M,9:00AM,11:50AM,CRC10 2080,00X
84617,EDCO-7994,Research and Dissertation,R,,1 TO 19,25,MC Fullen,(ARR),----- (ARR) -----,TBA,00X,
84618,EDCT-2604,Intro to Career & Tech Ed,L,Face-to-Face Instruction,3,20,NL Ferand,M W F,12:20PM,1:10PM,MAJWM 532,12M
84619,EDCT-4034,Meth of Planning Ed Prog in Ag,L,Face-to-Face Instruction,0 TO 3,15,DB Milliken,M W F,12:20PM,1:10PM,LITRV 244,00X
90721,EDCT-4754,Internship in Education,L,Face-to-Face Instruction,3,10,JS Mukuni,M,9:00AM,11:50AM,DER 1096,09M
84620,EDCT-4884,Youth Program Management,ONLINE COURSE - VL,Online: Asynchronous,3,45,DB Milliken,(ARR),----- (ARR) -----,ONLINE,00X,
84621,EDCT-4964,Field Study/Practicum,L,,1 TO 19,0,HD Sutphin,(ARR),----- (ARR) -----,TBA,00X,
84622,EDCT-5624,Managing CTE Program,ONLINE COURSE - VL,Online: Asynchronous,3,10,JS Mukuni,(ARR),----- (ARR) -----,ONLINE,00X,
84623,EDCT-5654,Strategies for Teaching CTE,L,Face-to-Face Instruction,3,10,NL Ferand,T,9:00AM,12:00PM,CRC10 2081,09T
84624,EDCT-5754,Internship in Education,L,Face-to-Face Instruction,3,10,JS Mukuni,M,9:00AM,11:50AM,DER 1096,09M
90979,EDCT-6664,Policy Analysis for Ed & Work,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,10,JS Mukuni,T,5:00PM,8:00PM,ONLINE,17T
84626,EDCT-7994,Research and Dissertation,R,,1 TO 19,20,NL Ferand,(ARR),----- (ARR) -----,TBA,00X,
84627,EDCT-7994,Research and Dissertation,R,,1 TO 19,20,JS Mukuni,(ARR),----- (ARR) -----,TBA,00X,
90704,EDEL-5144,Instruction Leadership P-12 Ed,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,20,JL Brinkmann,T,6:00PM,8:50PM,ONLINE,18T
84630,EDEL-5614,Internship,ONLINE COURSE - VL,Online: Asynchronous,3,12,JL Brinkmann,(ARR),----- (ARR) -----,ONLINE,00X,
84631,EDEL-5974,Independent Study,I,,1 TO 19,0,JL Brinkmann,(ARR),----- (ARR) -----,TBA,00X,
84632,EDEL-5974,Independent Study,ONLINE COURSE - VI,,1 TO 19,0,JL Brinkmann,(ARR),----- (ARR) -----,ONLINE,00X,
90696,EDEL-6004,Theories of Ed Admin,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,20,JL Brinkmann,M,6:00PM,8:50PM,ONLINE,18M
90705,EDEL-6024,Public School Budgeting,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,20,MD Alexander,W,6:00PM,8:50PM,ONLINE,18W
90697,EDEL-6044,Gov and Pol in Educ,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,20,CA Mullen,T,6:00PM,8:50PM,ONLINE,18T
90698,EDEL-6124,Advanced K-12 School Law,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,20,MD Alexander,M,6:00PM,8:50PM,ONLINE,18M
90699,EDEL-6924,Professional Seminar,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,50,CA Mullen,W,6:00PM,8:50PM,ONLINE,18W
90700,EDEL-6924,Professional Seminar,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,20,CL Lowery,R,6:00PM,8:50PM,ONLINE,18R
90702,EDEL-6924,Professional Seminar,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,20,CS Cash,M,6:00PM,8:50PM,ONLINE,18M
90703,EDEL-6924,Professional Seminar,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,12,CS Cash,T,6:00PM,8:50PM,ONLINE,18T
84644,EDEL-7704,Field Studies in Education,ONLINE COURSE - VL,,1 TO 12,0,CL Lowery,(ARR),----- (ARR) -----,ONLINE,00X,
84649,EDEL-7714,Internship in Education,ONLINE COURSE - VL,,1 TO 24,0,JL Brinkmann,(ARR),----- (ARR) -----,ONLINE,00X,
84653,EDEL-7994,Research and Dissertation,R,,1 TO 19,20,CL Lowery,(ARR),----- (ARR) -----,TBA,00X,
84654,EDEL-7994,Research and Dissertation,ONLINE COURSE - VR,,1 TO 19,50,CL Lowery,(ARR),----- (ARR) -----,ONLINE,00X,
91561,EDEP-2374,Educ Psych for PK-12 Teachers,L,Face-to-Face Instruction,3,30,Staff,T R,12:30PM,1:45PM,PAM 3010,12T
84659,EDEP-3474,PK-12 Assessment,L,Face-to-Face Instruction,3,30,Staff,T R,8:00AM,9:15AM,MAJWM 434,08T
90676,EDEP-3474,PK-12 Assessment,L,Face-to-Face Instruction,3,30,Staff,T R,2:00PM,3:15PM,MAJWM 434,14T
84660,EDEP-5114,Learning and Cognition,L,Face-to-Face Instruction,3,18,PE Doolittle,T,7:00PM,9:50PM,CRC10 2080,19T
90678,EDEP-5114,Learning and Cognition,L,Face-to-Face Instruction,3,25,M Johnson,W,4:00PM,6:50PM,CRC10 2080,16W
84661,EDEP-5154,Psych Foundations for Teachers,ONLINE COURSE - VL,Online: Asynchronous,3,60,BD Jones,(ARR),----- (ARR) -----,ONLINE,00X,
84662,EDEP-5964,Field Studies in Education,L,,1 TO 19,15,BD Jones,(ARR),----- (ARR) -----,TBA,00X,
84663,EDEP-5974,Independent Study,I,,1 TO 19,0,BD Jones,(ARR),----- (ARR) -----,TBA,00X,
84664,EDEP-6444,Motivation and Cognition,L,Face-to-Face Instruction,3,20,BD Jones,M,4:00PM,6:50PM,CRC10 2081,16M
84665,EDEP-6644,College Teaching,L,Face-to-Face Instruction,3,18,PE Doolittle,R,7:00PM,9:50PM,CRC10 2080,19R
84666,EDEP-7964,Field Studies in Education,L,,1 TO 12,25,BD Jones,(ARR),----- (ARR) -----,TBA,00X,
84667,EDEP-7994,Research and Dissertation,R,,1 TO 19,50,BD Jones,(ARR),----- (ARR) -----,TBA,00X,
84668,EDHE-5105,Assessment in H Ed Admin,L,Face-to-Face Instruction,3,18,SD Adams,T,9:30AM,12:20PM,CRC10 2080,09T
84669,EDHE-5284,Practicum in Higher Education,L,Hybrid (F2F & Online Instruc.),3,15,SD Adams,T,12:20PM,3:15PM,CRC10 2080,12T
84670,EDHE-5304,Intro to Student Affairs Prof,L,Face-to-Face Instruction,3,18,Staff,R,9:30AM,12:20PM,CRC10 2013,09R
84671,EDHE-5314,College Student Devel Theory,L,Face-to-Face Instruction,3,20,Staff,M,5:30PM,8:15PM,MAJWM 532,17M
90681,EDHE-5354,Crisis Management in Higher Ed,L,Face-to-Face Instruction,3,20,SD Adams,M,12:20PM,3:15PM,CRC10 2081,12M
84672,EDHE-5604,GS: Social Justice Education,L,Face-to-Face Instruction,3,20,DC Catalano,R,5:30PM,8:15PM,MAJWM 532,17R
84673,EDHE-5974,Independent Study,I,,1 TO 19,0,SD Adams,(ARR),----- (ARR) -----,TBA,00X,
84674,EDHE-6064,Higher Educ in US,L,Face-to-Face Instruction,3,24,DC Catalano,W,12:00PM,2:50PM,CRC10 2080,12W
90679,EDHE-6094,University Leadership,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,20,TB Lane,W,5:30PM,8:20PM,ONLINE,17W
91529,EDHE-6984,SS: Proseminar in Higher Ed,ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,12,TB Lane,T,4:00PM,6:50PM,ONLINE,16T
84676,EDHE-7714,Internship in Education,L,,1 TO 24,25,DC Catalano,(ARR),----- (ARR) -----,TBA,00X,
84677,EDHE-7994,Research and Dissertation,R,,1 TO 19,30,DC Catalano,(ARR),----- (ARR) -----,TBA,00X,
84678,EDIT-5154,Theoretical Foundations of TEL,L,Face-to-Face Instruction,3,9,GA Holmes,R,4:00PM,6:50PM,CRC10 2013,16R
84679,EDIT-5154,Theoretical Foundations of TEL,ONLINE COURSE - VL,Online: Asynchronous,3,30,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84680,EDIT-5164,Design for Learning,L,Hybrid (F2F & Online Instruc.),3,8,GA Holmes,T,1:00PM,3:50PM,CRC10 2081,13T
84681,EDIT-5164,Design for Learning,ONLINE COURSE - VL,Online: Asynchronous,3,30,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84682,EDIT-5224,Learning Message Design,ONLINE COURSE - VL,Online: Asynchronous,3,30,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84683,EDIT-5274,Foundations Inst Design Tech,ONLINE COURSE - VL,Online: Asynchronous,3,30,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84684,EDIT-5534,Applied ID Theory,ONLINE COURSE - VL,Online: Asynchronous,3,30,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84685,EDIT-5564,IT Tools & Methods,ONLINE COURSE - VL1,Online: Asynchronous,1 TO 19,30,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84686,EDIT-5564,IT Tools & Methods,ONLINE COURSE - VL,Online: Asynchronous,1 TO 19,30,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84687,EDIT-5584,Program and Product Evaluation,L,Face-to-Face Instruction,3,10,GA Holmes,F,10:00AM,12:50PM,CRC10 2013,10F
84688,EDIT-5584,Program and Product Evaluation,ONLINE COURSE - VL,Online: Asynchronous,3,50,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84689,EDIT-5624,Interactive Learn Media Design,ONLINE COURSE - VL,Online: Asynchronous,3,30,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84690,EDIT-5654,IDT Portfolio,ONLINE COURSE - VL,Online: Asynchronous,3,50,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84691,EDIT-5784,Graduate Seminar in Education,ONLINE COURSE - VL,Online: Asynchronous,1 TO 6,0,MW Goforth,(ARR),----- (ARR) -----,ONLINE,00X,
84692,EDIT-5904,Project and Report,R,,1 TO 19,15,GA Holmes,(ARR),----- (ARR) -----,TBA,00X,
84693,EDIT-5904,Project and Report,ONLINE COURSE - VR,,1 TO 19,50,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84694,EDIT-5974,Independent Study,I,,1 TO 19,0,GA Holmes,(ARR),----- (ARR) -----,TBA,00X,
84695,EDIT-5974,Independent Study,ONLINE COURSE - VI,,1 TO 19,0,K Song,(ARR),----- (ARR) -----,ONLINE,00X,
84696,EDIT-6664,Trends Inst Tech,L,Face-to-Face Instruction,3,20,GA Holmes,M,4:00PM,6:50PM,PAM 2001,16M
84697,EDIT-7994,Research and Dissertation,R,,1 TO 19,50,GA Holmes,(ARR),----- (ARR) -----,TBA,00X,
84699,EDP-5974,Independent Study,I,,1 TO 19,0,T Turkaslan Bulbul,(ARR),----- (ARR) -----,TBA,00X,
84700,EDP-5974,Independent Study,I,,1 TO 19,0,MR Stamm,(ARR),----- (ARR) -----,TBA,00X,
84704,EDP-7994,Research and Dissertation,R,,1 TO 19,0,BM Kleiner,(ARR),----- (ARR) -----,TBA,00X,
84705,EDP-7994,Research and Dissertation,R,,1 TO 19,0,AA Akanmu,(ARR),----- (ARR) -----,TBA,00X,
84706,EDP-7994,Research and Dissertation,R,,1 TO 19,0,N Roofigari-Esfahan,(ARR),----- (ARR) -----,TBA,00X,
84707,EDP-7994,Research and Dissertation,R,,1 TO 19,0,MR Stamm,(ARR),----- (ARR) -----,TBA,00X,
84708,EDP-7994,Research and Dissertation,R,,1 TO 19,0,WY Thabet,(ARR),----- (ARR) -----,TBA,00X,
84709,EDP-7994,Research and Dissertation,R,,1 TO 19,0,X Gao,(ARR),----- (ARR) -----,TBA,00X,
84710,EDP-7994,Research and Dissertation,R,,1 TO 19,0,K Afsari,(ARR),----- (ARR) -----,TBA,00X,
84711,EDP-7994,Research and Dissertation,R,,1 TO 19,0,T Turkaslan Bulbul,(ARR),----- (ARR) -----,TBA,00X,
84712,EDP-7994,Research and Dissertation,R,,1 TO 19,0,R Zhang,(ARR),----- (ARR) -----,TBA,00X,
84713,EDP-7994,Research and Dissertation,R,,1 TO 19,0,G Reichard,(ARR),----- (ARR) -----,TBA,00X,
84714,EDP-7994,Research and Dissertation,R,,1 TO 19,0,AP McCoy,(ARR),----- (ARR) -----,TBA,00X,
84715,EDP-7994,Research and Dissertation,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
84716,EDP-7994,Research and Dissertation,R,,1 TO 19,0,A Shojaei kol kachi,(ARR),----- (ARR) -----,TBA,00X,
84717,EDP-7994,Research and Dissertation,R,,1 TO 19,0,AR Pearce,(ARR),----- (ARR) -----,TBA,00X,
84718,EDP-7994,Research and Dissertation,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
84719,EDP-7994,Research and Dissertation,R,,1 TO 19,0,PF Emmons,(ARR),----- (ARR) -----,TBA,00X,
84720,EDP-7994,Research and Dissertation,R,,1 TO 19,0,PR Agee,(ARR),----- (ARR) -----,TBA,00X,
84721,EDP-7994,Research and Dissertation,R,,1 TO 19,0,L Zhang,(ARR),----- (ARR) -----,TBA,00X,
84722,EDP-7994,Research and Dissertation,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
84725,EDRE-5974,Independent Study,I,,1 TO 19,0,DJ Kniola,(ARR),----- (ARR) -----,TBA,00X,
84726,EDRE-6504,Qualitative Res I,L,Face-to-Face Instruction,3,18,SF Hein,W,1:00PM,3:50PM,CRC10 2081,13W
84727,EDRE-6504,Qualitative Res I,L,Face-to-Face Instruction,3,18,SF Hein,M,4:00PM,6:50PM,CRC10 2080,16M
84728,EDRE-6605,Quan Res Methods in Educ I,ONLINE COURSE - VL,Online: Asynchronous,3,20,DJ Kniola,(ARR),----- (ARR) -----,ONLINE,00X,
84729,EDRE-6605,Quan Res Methods in Educ I,ONLINE COURSE - VL,Online: Asynchronous,3,19,DJ Kniola,(ARR),----- (ARR) -----,ONLINE,00X,
84730,EDRE-6605,Quan Res Methods in Educ I,ONLINE COURSE - VL,Online: Asynchronous,3,20,M Johnson,(ARR),----- (ARR) -----,ONLINE,00X,
84731,EDRE-6634,Adv Stat for Educ,L,Face-to-Face Instruction,3,20,Y Miyazaki,R,4:00PM,6:50PM,CRC10 2080,16R
84732,EDRE-6694,Hierarchical Linear Modeling,L,Face-to-Face Instruction,3,20,Y Miyazaki,M,4:00PM,6:50PM,CRC10 2013,16M
84733,EDRE-6704,Eval Meth in Ed,L,Face-to-Face Instruction,3,20,DJ Kniola,M,1:00PM,3:50PM,CRC10 2080,13M
84734,EDRE-7714,Internship in Education,L,,1 TO 24,25,DJ Kniola,(ARR),----- (ARR) -----,TBA,00X,
84735,EDRE-7964,Field Studies in Education,L,,1 TO 12,25,DJ Kniola,(ARR),----- (ARR) -----,TBA,00X,
84736,EDRE-7994,Research and Dissertation,R,,1 TO 19,30,DJ Kniola,(ARR),----- (ARR) -----,TBA,00X,
84737,EDTE-1004,Intro. to I-STEM Ed,L,Face-to-Face Instruction,3,24,BD Bowen,M W,9:05AM,10:20AM,SEITZ 112,09M
90673,EDTE-1004,Intro. to I-STEM Ed,L,Face-to-Face Instruction,3,24,BD Bowen,M W,11:15AM,12:30PM,SEITZ 112,11M
84738,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,8:00AM,9:15AM,GOODW 145,00X
84739,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,8:00AM,9:15AM,GOODW 135,00X
84740,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,8:00AM,9:15AM,GOODW 125,00X
84741,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,9:30AM,10:45AM,GOODW 145,00X
84742,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,11:00AM,12:15PM,GOODW 145,00X
84743,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,12:30PM,1:45PM,GOODW 145,00X
84744,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,2:00PM,3:15PM,GOODW 145,00X
84745,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,2:00PM,3:15PM,GOODW 125,00X
84746,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,3:30PM,4:45PM,GOODW 145,00X
84747,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,3:30PM,4:45PM,GOODW 135,00X
84748,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,3:30PM,4:45PM,GOODW 125,00X
84749,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,5:00PM,6:15PM,GOODW 145,00X
84750,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,8:00AM,9:15AM,GOODW 145,00X
84751,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,8:00AM,9:15AM,GOODW 135,00X
84752,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,9:30AM,10:45AM,GOODW 145,00X
84753,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,9:30AM,10:45AM,GOODW 135,00X
84754,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,11:30AM,12:45PM,GOODW 145,00X
84755,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,11:30AM,12:45PM,GOODW 135,00X
84756,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,1:00PM,2:15PM,GOODW 145,00X
84757,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,1:00PM,2:15PM,GOODW 135,00X
84758,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,2:30PM,3:45PM,GOODW 145,00X
84759,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,2:30PM,3:45PM,GOODW 135,00X
84760,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,2:30PM,3:45PM,GOODW 125,00X
84761,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,4:00PM,5:15PM,GOODW 145,00X
84762,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,4:00PM,5:15PM,GOODW 135,00X
84763,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,4:00PM,5:15PM,GOODW 125,00X
84764,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,5:30PM,6:45PM,GOODW 145,00X
84765,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,5:30PM,6:45PM,GOODW 135,00X
84766,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,M W,5:30PM,6:45PM,GOODW 125,00X
90849,ENGE-1215,Foundations of Engineering,B,Face-to-Face Instruction,2,72,Staff,T R,5:00PM,6:15PM,GOODW 135,00X
84767,ENGE-1216,Foundations of Engineering,B,Face-to-Face Instruction,2,60,Staff,T R,5:00PM,6:15PM,GOODW 115,00X
84768,ENGE-1216,Foundations of Engineering,B,Face-to-Face Instruction,2,60,Staff,T R,3:30PM,4:45PM,GOODW 115,00X
84769,ENGE-1216,Foundations of Engineering,B,Face-to-Face Instruction,2,60,Staff,T R,11:00AM,12:15PM,GOODW 115,00X
84770,ENGE-1414,Foundations of Engr Practice,B,Face-to-Face Instruction,4,50,Staff,M T W R,12:30PM,1:45PM,GOODW 155,00X
84771,ENGE-1414,Foundations of Engr Practice,B,Face-to-Face Instruction,4,72,Staff,M T W R,5:00PM,6:15PM,GOODW 155,00X
84772,ENGE-1414,Foundations of Engr Practice,B,Face-to-Face Instruction,4,72,Staff,M T W R,2:00PM,3:15PM,GOODW 155,00X
84773,ENGE-1414,Foundations of Engr Practice,B,Face-to-Face Instruction,4,72,Staff,M T W R,3:30PM,4:45PM,GOODW 155,00X
84774,ENGE-1414,Foundations of Engr Practice,B,Face-to-Face Instruction,4,72,Staff,M T W R,8:00AM,9:15AM,GOODW 155,00X
