crn,course,title,schedule_type,modality,cr_hrs,capacity,instructor,days,start_time,end_time,location,exam
91219,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,J Bovay,(ARR),----- (ARR) -----,TBA,00X,
91225,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,A Gupta,(ARR),----- (ARR) -----,TBA,00X,
91228,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,BF Mills,(ARR),----- (ARR) -----,TBA,00X,
91229,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,C Larochelle,(ARR),----- (ARR) -----,TBA,00X,
91230,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,C Holmes,(ARR),----- (ARR) -----,TBA,00X,
91233,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,DJ Bosch,(ARR),----- (ARR) -----,TBA,00X,
91235,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,GC Davis,(ARR),----- (ARR) -----,TBA,00X,
91237,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,JH Grant,(ARR),----- (ARR) -----,TBA,00X,
91241,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,X He,(ARR),----- (ARR) -----,TBA,00X,
91244,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,K Moeltner,(ARR),----- (ARR) -----,TBA,00X,
91245,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,O Isengildina Massa,(ARR),----- (ARR) -----,TBA,00X,
91250,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,E Benami,(ARR),----- (ARR) -----,TBA,00X,
91251,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,SL Stewart,(ARR),----- (ARR) -----,TBA,00X,
91252,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,SE Chen,(ARR),----- (ARR) -----,TBA,00X,
91253,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,W Zhang,(ARR),----- (ARR) -----,TBA,00X,
91254,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,Z Chen,(ARR),----- (ARR) -----,TBA,00X,
91255,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,CL Ta,(ARR),----- (ARR) -----,TBA,00X,
91261,AAEC-7994,Research and Dissertation,R,,1 TO 19,5,Staff,(ARR),----- (ARR) -----,TBA,00X,
80113,ACIS-1004,Accounting Foundations,ONLINE COURSE - VL,Online: Asynchronous,3,400,JM Lacoste,(ARR),----- (ARR) -----,ONLINE,00X,
80114,ACIS-1104,Careers in ACIS,L,Face-to-Face Instruction,1,125,DR Compton,M,5:30PM,6:20PM,NCB 320,00X
80115,ACIS-1504,Intro to Bus Analytics & BI,ONLINE COURSE - VL,Online: Asynchronous,3,3,JP Sharp,(ARR),----- (ARR) -----,ONLINE,00X,
80116,ACIS-1504,Intro to Bus Analytics & BI,ONLINE COURSE - VL,Online: Asynchronous,3,3,JP Sharp,(ARR),----- (ARR) -----,ONLINE,00X,
80117,ACIS-1504,Intro to Bus Analytics & BI,ONLINE COURSE - VL,Online: Asynchronous,3,3,JP Sharp,(ARR),----- (ARR) -----,ONLINE,00X,
